Angle,Distance,Height
30,207,220
30,199,220
30,208,220
30,219,220
30,210,220
30,202,220
30,208,220
30,208,220
30,201,220
30,213,220
30,205,220
30,203,220
30,211,220
30,197,220
30,199,220
30,209,220
30,206,220
30,215,220
30,209,220
30,208,220
30,204,220
30,207,220
30,205,220
30,209,220
30,210,220
30,213,220
30,202,220
30,211,220
30,199,220
30,214,220
45,269,220
45,253,220
45,274,220
45,268,220
45,272,220
45,280,220
45,269,220
45,274,220
45,274,220
45,271,220
45,276,220
45,269,220
45,285,220
45,279,220
45,284,220
45,278,220
45,268,220
45,277,220
45,271,220
45,274,220
45,282,220
45,281,220
45,278,220
45,282,220
45,283,220
45,287,220
45,278,220
45,273,220
45,281,220
45,274,220
60,284,220
60,284,220
60,286,220
60,285,220
60,284,220
60,291,220
60,287,220
60,284,220
60,277,220
60,273,220
60,271,220
60,284,220
60,285,220
60,283,220
60,283,220
60,279,220
60,277,220
60,282,220
60,283,220
60,280,220
60,288,220
60,290,220
60,282,220
60,278,220
60,280,220
60,273,220
60,276,220
60,284,220
60,286,220
60,275,220
75,279,220
75,276,220
75,284,220
75,278,220
75,279,220
75,285,220
75,280,220
75,286,220
75,285,220
75,281,220
75,284,220
75,290,220
75,278,220
75,279,220
75,278,220
75,282,220
75,286,220
75,282,220
75,273,220
75,294,220
75,290,220
75,282,220
75,281,220
75,281,220
75,280,220
75,285,220
75,289,220
75,286,220
75,287,220
75,298,220
15,151,220
15,163,220
15,160,220
15,161,220
15,152,220
15,154,220
15,163,220
15,174,220
15,165,220
15,141,220
15,151,220
15,162,220
15,162,220
15,157,220
15,164,220
15,163,220
15,166,220
15,179,220
15,148,220
15,164,220
15,168,220
15,170,220
15,154,220
15,157,220
15,147,220
15,155,220
15,156,220
15,161,220
15,154,220
15,163,220
0,128,220
0,138,220
0,138,220
0,129,220
0,127,220
0,127,220
0,136,220
0,137,220
0,137,220
0,135,220
0,128,220
0,135,220
0,139,220
0,134,220
0,133,220
0,127,220
0,135,220
0,126,220
0,129,220
0,128,220
0,140,220
0,139,220
0,139,220
0,127,220
0,134,220
0,129,220
0,140,220
0,127,220
0,128,220
0,127,220
