Angle,Distance,Height
30,207,220
30,199,220
30,208,220
30,219,220
30,210,220
30,202,220
30,208,220
30,208,220
30,201,220
30,213,220
30,205,220
30,203,220
30,211,220
30,197,220
30,199,220
30,209,220
30,206,220
30,215,220
30,209,220
30,208,220
30,204,220
30,207,220
30,205,220
30,209,220
30,210,220
30,213,220
30,202,220
30,211,220
30,199,220
30,214,220
45,269,220
45,253,220
45,274,220
45,268,220
45,272,220
45,280,220
45,269,220
45,274,220
45,274,220
45,271,220
45,276,220
45,269,220
45,285,220
45,279,220
45,284,220
45,278,220
45,268,220
45,277,220
45,271,220
45,274,220
45,282,220
45,281,220
45,278,220
45,282,220
45,283,220
45,287,220
45,278,220
45,273,220
45,281,220
45,274,220
60,284,220
60,284,220
60,286,220
60,285,220
60,284,220
60,291,220
60,287,220
60,284,220
60,277,220
60,273,220
60,271,220
60,284,220
60,285,220
60,283,220
60,283,220
60,279,220
60,277,220
60,282,220
60,283,220
60,280,220
60,288,220
60,290,220
60,282,220
60,278,220
60,280,220
60,273,220
60,276,220
60,284,220
60,286,220
60,275,220
75,279,220
75,276,220
75,284,220
75,278,220
75,279,220
75,285,220
75,280,220
75,286,220
75,285,220
75,281,220
75,284,220
75,290,220
75,278,220
75,279,220
75,278,220
75,282,220
75,286,220
75,282,220
75,273,220
75,294,220
75,290,220
75,282,220
75,281,220
75,281,220
75,280,220
75,285,220
75,289,220
75,286,220
75,287,220
75,298,220
15,151,220
15,163,220
15,160,220
15,161,220
15,152,220
15,154,220
15,163,220
15,174,220
15,165,220
15,141,220
15,151,220
15,162,220
15,162,220
15,157,220
15,164,220
15,163,220
15,166,220
15,179,220
15,148,220
15,164,220
15,168,220
15,170,220
15,154,220
15,157,220
15,147,220
15,155,220
15,156,220
15,161,220
15,154,220
15,163,220
0,128,220
0,138,220
0,138,220
0,129,220
0,127,220
0,127,220
0,136,220
0,137,220
0,137,220
0,135,220
0,128,220
0,135,220
0,139,220
0,134,220
0,133,220
0,127,220
0,135,220
0,126,220
0,129,220
0,128,220
0,140,220
0,139,220
0,139,220
0,127,220
0,134,220
0,129,220
0,140,220
0,127,220
0,128,220
0,127,220
0,104,110
0,100,110
0,103,110
0,100,110
0,78,110
0,88,110
0,82,110
0,93,110
0,96,110
0,80,110
0,98,110
0,94,110
0,92,110
0,99,110
0,98,110
0,90,110
0,80,110
0,85,110
0,88,110
0,82,110
0,75,110
0,82,110
0,89,110
0,79,110
0,95,110
0,97,110
0,90,110
0,96,110
0,97,110
0,89,110
15,127,110
15,128,110
15,114,110
15,106,110
15,117,110
15,116,110
15,117,110
15,113,110
15,122,110
15,123,110
15,118,110
15,125,110
15,129,110
15,122,110
15,117,110
15,118,110
15,128,110
15,118,110
15,121,110
15,109,110
15,105,110
15,109,110
15,104,110
15,108,110
15,111,110
15,116,110
15,114,110
15,119,110
15,117,110
15,116,110
30,157,110
30,148,110
30,144,110
30,146,110
30,136,110
30,151,110
30,135,110
30,132,110
30,136,110
30,138,110
30,148,110
30,139,110
30,147,110
30,146,110
30,141,110
30,147,110
30,143,110
30,135,110
30,145,110
30,153,110
30,150,110
30,151,110
30,148,110
30,149,110
30,150,110
30,156,110
30,149,110
30,149,110
30,138,110
30,153,110
45,190,110
45,184,110
45,173,110
45,184,110
45,180,110
45,181,110
45,184,110
45,192,110
45,183,110
45,175,110
45,181,110
45,178,110
45,188,110
45,174,110
45,194,110
45,182,110
45,187,110
45,187,110
45,198,110
45,173,110
45,192,110
45,181,110
45,182,110
45,192,110
45,173,110
45,192,110
45,189,110
45,169,110
45,187,110
45,204,110
60,237,110
60,225,110
60,236,110
60,217,110
60,232,110
60,218,110
60,227,110
60,236,110
60,233,110
60,237,110
60,223,110
60,221,110
60,228,110
60,231,110
60,217,110
60,232,110
60,226,110
60,223,110
60,227,110
60,229,110
60,225,110
60,218,110
60,214,110
60,233,110
60,229,110
60,227,110
60,223,110
60,227,110
60,226,110
60,229,110
75,237,110
75,225,110
75,236,110
75,217,110
75,232,110
75,218,110
75,227,110
75,236,110
75,233,110
75,237,110
75,223,110
75,221,110
75,228,110
75,231,110
75,217,110
75,232,110
75,226,110
75,223,110
75,227,110
75,229,110
75,225,110
75,218,110
75,214,110
75,233,110
75,229,110
75,227,110
75,223,110
75,227,110
75,226,110
75,229,110
